uid,revenue,popularity,budget,original_title,genres,realease_year,realease_year_decimal
0,2787965087,150.437577,237000000,Avatar,Action,2009,2009.9439890710382
1,961000000,139.082615,300000000,Pirates of the Caribbean: At World's End,Adventure,2007,2007.3852459016393
2,880674609,107.37678799999999,245000000,Spectre,Action,2015,2015.8210382513662
3,1084939099,112.31295,250000000,The Dark Knight Rises,Action,2012,2012.5437158469945
4,284139100,43.926995,260000000,John Carter,Action,2012,2012.1857923497269
5,890871626,115.69981399999999,258000000,Spider-Man 3,Fantasy,2007,2007.3360655737704
6,591794936,48.681969,260000000,Tangled,Animation,2010,2010.898907103825
7,1405403694,134.27922900000002,280000000,Avengers: Age of Ultron,Action,2015,2015.3101092896175
8,933959197,98.885637,250000000,Harry Potter and the Half-Blood Prince,Adventure,2009,2009.51912568306
9,873260194,155.790452,250000000,Batman v Superman: Dawn of Justice,Action,2016,2016.2295081967213
10,391081192,57.925623,270000000,Superman Returns,Adventure,2006,2006.4931693989072
11,586090727,107.92881100000001,200000000,Quantum of Solace,Adventure,2008,2008.8319672131147
12,1065659812,145.84737900000002,200000000,Pirates of the Caribbean: Dead Man's Chest,Adventure,2006,2006.47131147541
13,89289910,49.046956,255000000,The Lone Ranger,Action,2013,2013.5081967213114
14,662845518,99.398009,225000000,Man of Steel,Action,2013,2013.4494535519127
15,419651413,53.978602,225000000,The Chronicles of Narnia: Prince Caspian,Adventure,2008,2008.3743169398906
16,1519557910,144.448633,220000000,The Avengers,Science Fiction,2012,2012.318306010929
17,1045713802,135.413856,380000000,Pirates of the Caribbean: On Stranger Tides,Adventure,2011,2011.3715846994535
18,624026776,52.035179,225000000,Men in Black 3,Action,2012,2012.3961748633878
19,956019788,120.96574299999999,250000000,The Hobbit: The Battle of the Five Armies,Action,2014,2014.9439890710382
20,752215857,89.866276,215000000,The Amazing Spider-Man,Action,2012,2012.49043715847
21,310669540,37.668301,200000000,Robin Hood,Action,2010,2010.3661202185792
22,958400000,94.370564,250000000,The Hobbit: The Desolation of Smaug,Adventure,2013,2013.9467213114756
23,372234864,42.990906,180000000,The Golden Compass,Adventure,2007,2007.9275956284155
24,550000000,61.226009999999995,207000000,King Kong,Adventure,2005,2005.954918032787
25,1845034188,100.025899,200000000,Titanic,Drama,1997,1997.8825136612022
26,1153304495,198.37239499999998,250000000,Captain America: Civil War,Adventure,2016,2016.3237704918033
27,303025485,64.928382,209000000,Battleship,Thriller,2012,2012.2800546448088
28,1513528810,418.708552,150000000,Jurassic World,Action,2015,2015.441256830601
29,1108561013,93.004993,200000000,Skyfall,Action,2012,2012.818306010929
30,783766341,35.149586,200000000,Spider-Man 2,Action,2004,2004.4849726775958
